Filename: /Users/nkrell/Box Sync/Kenya/rem-sense/S1A_IW_GRDH_1SDV_20170126T154808_20170126T154833_015004_018819_7091_Cal_TC.data/Sigma0_VV_TC_db												
ROI: mrc_ranch_house [Red] 195 points												
Basic Stats	       Min	     Max	     Mean	   Stdev								
     Band 1	-20.208261	6.025762	-8.866403	5.289712				ROI	Min	Max	Mean	Stdev
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct			mrc_ranch_house	-20.208261	6.025762	-8.866403	5.289712
           	0.881836	0	182	0	93.3333							
           	0.984714	0	182	0	93.3333							
           	1.087593	0	182	0	93.3333							
           	1.190471	0	182	0	93.3333							
           	1.29335	0	182	0	93.3333							
           	1.396228	1	183	0.5128	93.8462							
           	1.499107	0	183	0	93.8462							
           	1.601985	0	183	0	93.8462							
           	1.704864	0	183	0	93.8462							
           	1.807742	1	184	0.5128	94.359							
           	1.910621	1	185	0.5128	94.8718							
           	2.013499	0	185	0	94.8718							
           	2.116378	1	186	0.5128	95.3846							
           	2.219256	0	186	0	95.3846							
           	2.322135	1	187	0.5128	95.8974							
           	2.425013	0	187	0	95.8974							
           	2.527892	0	187	0	95.8974							
           	2.63077	0	187	0	95.8974							
           	2.733649	0	187	0	95.8974							
           	2.836527	2	189	1.0256	96.9231							
           	2.939406	1	190	0.5128	97.4359							
           	3.042284	0	190	0	97.4359							
           	3.145163	0	190	0	97.4359							
           	3.248042	0	190	0	97.4359							
           	3.35092	0	190	0	97.4359							
           	3.453799	0	190	0	97.4359							
           	3.556677	1	191	0.5128	97.9487							
           	3.659556	0	191	0	97.9487							
           	3.762434	0	191	0	97.9487							
           	3.865313	0	191	0	97.9487							
           	3.968191	0	191	0	97.9487							
           	4.07107	1	192	0.5128	98.4615							
           	4.173948	1	193	0.5128	98.9744							
           	4.276827	0	193	0	98.9744							
           	4.379705	0	193	0	98.9744							
           	4.482584	0	193	0	98.9744							
           	4.585462	1	194	0.5128	99.4872							
           	4.688341	0	194	0	99.4872							
           	4.791219	0	194	0	99.4872							
           	4.894098	0	194	0	99.4872							
           	4.996976	0	194	0	99.4872							
           	5.099855	0	194	0	99.4872							
           	5.202733	0	194	0	99.4872							
           	5.305612	0	194	0	99.4872							
           	5.40849	0	194	0	99.4872							
           	5.511369	0	194	0	99.4872							
           	5.614248	0	194	0	99.4872							
           	5.717126	0	194	0	99.4872							
           	5.820005	0	194	0	99.4872							
           	5.922883	0	194	0	99.4872							
           	6.025762	1	195	0.5128	100							
Stats for ROI: river_1 [Blue] 90 points												
Basic Stats	       Min	      Max	      Mean	   Stdev								
     Band 1	-20.187374	-6.694543	-12.227586	2.66464								
Histogram  	        DN	   Npts	  Total	 Percent	 Acc Pct							
Band 1     	-20.187374	1	1	1.1111	1.1111							
Bin=0.05291	-20.134461	0	1	0	1.1111							
           	-20.081548	0	1	0	1.1111							
           	-20.028635	0	1	0	1.1111							
           	-19.975722	0	1	0	1.1111							
           	-19.922809	0	1	0	1.1111							
           	-19.869896	0	1	0	1.1111							
           	-19.816983	0	1	0	1.1111							
           	-19.76407	0	1	0	1.1111							
           	-19.711157	0	1	0	1.1111							
           	-19.658243	0	1	0	1.1111							
           	-19.60533	0	1	0	1.1111							
           	-19.552417	1	2	1.1111	2.2222							
           	-19.499504	0	2	0	2.2222							
           	-19.446591	0	2	0	2.2222							
           	-19.393678	0	2	0	2.2222							
           	-19.340765	0	2	0	2.2222							
           	-19.287852	0	2	0	2.2222							
           	-19.234939	0	2	0	2.2222							
           	-19.182026	0	2	0	2.2222							
           	-19.129113	0	2	0	2.2222							
           	-19.0762	0	2	0	2.2222							
           	-19.023287	0	2	0	2.2222							
           	-18.970374	0	2	0	2.2222							
           	-18.917461	0	2	0	2.2222							
           	-18.864548	0	2	0	2.2222							
           	-18.811635	0	2	0	2.2222							
           	-18.758721	0	2	0	2.2222							
           	-18.705808	0	2	0	2.2222							
           	-18.652895	0	2	0	2.2222							
           	-18.599982	0	2	0	2.2222							
           	-18.547069	0	2	0	2.2222							
           	-18.494156	0	2	0	2.2222							
           	-18.441243	0	2	0	2.2222							
           	-18.38833	0	2	0	2.2222							
           	-18.335417	0	2	0	2.2222							
           	-18.282504	0	2	0	2.2222							
           	-18.229591	0	2	0	2.2222							
           	-18.176678	0	2	0	2.2222							
           	-18.123765	1	3	1.1111	3.3333							
           	-18.070852	0	3	0	3.3333							
           	-18.017939	0	3	0	3.3333							
           	-17.965026	0	3	0	3.3333							
           	-17.912112	0	3	0	3.3333							
           	-17.859199	0	3	0	3.3333							
           	-17.806286	0	3	0	3.3333							
           	-17.753373	0	3	0	3.3333							
           	-17.70046	0	3	0	3.3333							
           	-17.647547	0	3	0	3.3333							
           	-17.594634	0	3	0	3.3333							
           	-17.541721	0	3	0	3.3333							
           	-17.488808	0	3	0	3.3333							
           	-17.435895	0	3	0	3.3333							
           	-17.382982	1	4	1.1111	4.4444							
           	-17.330069	0	4	0	4.4444							
           	-17.277156	0	4	0	4.4444							
           	-17.224243	0	4	0	4.4444							
           	-17.17133	0	4	0	4.4444							
           	-17.118417	0	4	0	4.4444							
           	-17.065503	0	4	0	4.4444							
           	-17.01259	0	4	0	4.4444							
           	-16.959677	0	4	0	4.4444							
           	-16.906764	0	4	0	4.4444							
           	-16.853851	0	4	0	4.4444							
           	-16.800938	0	4	0	4.4444							
           	-16.748025	0	4	0	4.4444							
           	-16.695112	0	4	0	4.4444							
           	-16.642199	0	4	0	4.4444							
           	-16.589286	0	4	0	4.4444							
           	-16.536373	0	4	0	4.4444							
           	-16.48346	1	5	1.1111	5.5556							
           	-16.430547	0	5	0	5.5556							
           	-16.377634	1	6	1.1111	6.6667							
           	-16.324721	1	7	1.1111	7.7778							
           	-16.271808	0	7	0	7.7778							
           	-16.218894	0	7	0	7.7778							
           	-16.165981	0	7	0	7.7778							
           	-16.113068	0	7	0	7.7778							
           	-16.060155	0	7	0	7.7778							
           	-16.007242	1	8	1.1111	8.8889							
           	-15.954329	0	8	0	8.8889							
           	-15.901416	0	8	0	8.8889							
           	-15.848503	0	8	0	8.8889							
           	-15.79559	1	9	1.1111	10							
           	-15.742677	1	10	1.1111	11.1111							
           	-15.689764	0	10	0	11.1111							
           	-15.636851	0	10	0	11.1111							
           	-15.583938	1	11	1.1111	12.2222							
           	-15.531025	0	11	0	12.2222							
           	-15.478112	0	11	0	12.2222							
           	-15.425199	0	11	0	12.2222							
           	-15.372285	0	11	0	12.2222							
           	-15.319372	0	11	0	12.2222							
           	-15.266459	0	11	0	12.2222							
           	-15.213546	1	12	1.1111	13.3333							
           	-15.160633	0	12	0	13.3333							
           	-15.10772	0	12	0	13.3333							
           	-15.054807	1	13	1.1111	14.4444							
           	-15.001894	0	13	0	14.4444							
           	-14.948981	0	13	0	14.4444							
           	-14.896068	2	15	2.2222	16.6667							
           	-14.843155	0	15	0	16.6667							
           	-14.790242	0	15	0	16.6667							
           	-14.737329	0	15	0	16.6667							
           	-14.684416	0	15	0	16.6667							
           	-14.631503	1	16	1.1111	17.7778							
           	-14.57859	0	16	0	17.7778							
           	-14.525677	1	17	1.1111	18.8889							
           	-14.472763	1	18	1.1111	20							
           	-14.41985	0	18	0	20							
           	-14.366937	0	18	0	20							
           	-14.314024	1	19	1.1111	21.1111							
           	-14.261111	1	20	1.1111	22.2222							
           	-14.208198	1	21	1.1111	23.3333							
           	-14.155285	0	21	0	23.3333							
           	-14.102372	0	21	0	23.3333							
           	-14.049459	0	21	0	23.3333							
           	-13.996546	0	21	0	23.3333							
           	-13.943633	1	22	1.1111	24.4444							
           	-13.89072	0	22	0	24.4444							
           	-13.837807	0	22	0	24.4444							
           	-13.784894	0	22	0	24.4444							
           	-13.731981	0	22	0	24.4444							
           	-13.679068	0	22	0	24.4444							
           	-13.626154	0	22	0	24.4444							
           	-13.573241	1	23	1.1111	25.5556							
           	-13.520328	0	23	0	25.5556							
           	-13.467415	1	24	1.1111	26.6667							
           	-13.414502	0	24	0	26.6667							
           	-13.361589	1	25	1.1111	27.7778							
           	-13.308676	0	25	0	27.7778							
           	-13.255763	1	26	1.1111	28.8889							
           	-13.20285	0	26	0	28.8889							
           	-13.149937	1	27	1.1111	30							
           	-13.097024	2	29	2.2222	32.2222							
           	-13.044111	1	30	1.1111	33.3333							
           	-12.991198	1	31	1.1111	34.4444							
           	-12.938285	0	31	0	34.4444							
           	-12.885372	2	33	2.2222	36.6667							
           	-12.832459	0	33	0	36.6667							
           	-12.779545	2	35	2.2222	38.8889							
           	-12.726632	1	36	1.1111	40							
           	-12.673719	1	37	1.1111	41.1111							
           	-12.620806	0	37	0	41.1111							
           	-12.567893	1	38	1.1111	42.2222							
           	-12.51498	2	40	2.2222	44.4444							
           	-12.462067	2	42	2.2222	46.6667							
           	-12.409154	0	42	0	46.6667							
           	-12.356241	1	43	1.1111	47.7778							
           	-12.303328	1	44	1.1111	48.8889							
           	-12.250415	0	44	0	48.8889							
           	-12.197502	0	44	0	48.8889							
           	-12.144589	0	44	0	48.8889							
           	-12.091676	0	44	0	48.8889							
           	-12.038763	0	44	0	48.8889							
           	-11.98585	2	46	2.2222	51.1111							
           	-11.932936	3	49	3.3333	54.4444							
           	-11.880023	2	51	2.2222	56.6667							
           	-11.82711	1	52	1.1111	57.7778							
           	-11.774197	3	55	3.3333	61.1111							
           	-11.721284	0	55	0	61.1111							
           	-11.668371	1	56	1.1111	62.2222							
           	-11.615458	0	56	0	62.2222							
           	-11.562545	1	57	1.1111	63.3333							
           	-11.509632	0	57	0	63.3333							
           	-11.456719	0	57	0	63.3333							
           	-11.403806	1	58	1.1111	64.4444							
           	-11.350893	3	61	3.3333	67.7778							
           	-11.29798	1	62	1.1111	68.8889							
           	-11.245067	1	63	1.1111	70							
           	-11.192154	0	63	0	70							
           	-11.139241	1	64	1.1111	71.1111							
           	-11.086327	1	65	1.1111	72.2222							
           	-11.033414	0	65	0	72.2222							
           	-10.980501	1	66	1.1111	73.3333							
           	-10.927588	1	67	1.1111	74.4444							
           	-10.874675	0	67	0	74.4444							
           	-10.821762	0	67	0	74.4444							
           	-10.768849	0	67	0	74.4444							
           	-10.715936	0	67	0	74.4444							
           	-10.663023	0	67	0	74.4444							
           	-10.61011	1	68	1.1111	75.5556							
           	-10.557197	0	68	0	75.5556							
           	-10.504284	0	68	0	75.5556							
           	-10.451371	0	68	0	75.5556							
           	-10.398458	0	68	0	75.5556							
           	-10.345545	0	68	0	75.5556							
           	-10.292632	0	68	0	75.5556							
           	-10.239719	0	68	0	75.5556							
           	-10.186805	0	68	0	75.5556							
           	-10.133892	1	69	1.1111	76.6667							
           	-10.080979	0	69	0	76.6667							
           	-10.028066	0	69	0	76.6667							
           	-9.975153	0	69	0	76.6667							
           	-9.92224	1	70	1.1111	77.7778							
           	-9.869327	0	70	0	77.7778							
           	-9.816414	0	70	0	77.7778							
           	-9.763501	1	71	1.1111	78.8889							
           	-9.710588	1	72	1.1111	80							
           	-9.657675	0	72	0	80							
           	-9.604762	2	74	2.2222	82.2222							
           	-9.551849	1	75	1.1111	83.3333							
           	-9.498936	0	75	0	83.3333							
           	-9.446023	0	75	0	83.3333							
           	-9.39311	0	75	0	83.3333							
           	-9.340196	0	75	0	83.3333							
           	-9.287283	2	77	2.2222	85.5556							
           	-9.23437	1	78	1.1111	86.6667							
           	-9.181457	0	78	0	86.6667							
           	-9.128544	0	78	0	86.6667							
           	-9.075631	0	78	0	86.6667							
           	-9.022718	0	78	0	86.6667							
           	-8.969805	1	79	1.1111	87.7778							
           	-8.916892	2	81	2.2222	90							
           	-8.863979	1	82	1.1111	91.1111							
           	-8.811066	0	82	0	91.1111							
           	-8.758153	0	82	0	91.1111							
           	-8.70524	0	82	0	91.1111							
           	-8.652327	1	83	1.1111	92.2222							
           	-8.599414	0	83	0	92.2222							
           	-8.546501	1	84	1.1111	93.3333							
           	-8.493587	1	85	1.1111	94.4444							
           	-8.440674	1	86	1.1111	95.5556							
           	-8.387761	0	86	0	95.5556							
           	-8.334848	0	86	0	95.5556							
           	-8.281935	0	86	0	95.5556							
           	-8.229022	0	86	0	95.5556							
           	-8.176109	0	86	0	95.5556							
           	-8.123196	1	87	1.1111	96.6667							
           	-8.070283	0	87	0	96.6667							
           	-8.01737	0	87	0	96.6667							
           	-7.964457	0	87	0	96.6667							
           	-7.911544	0	87	0	96.6667							
           	-7.858631	0	87	0	96.6667							
           	-7.805718	0	87	0	96.6667							
           	-7.752805	0	87	0	96.6667							
           	-7.699892	0	87	0	96.6667							
           	-7.646978	0	87	0	96.6667							
           	-7.594065	0	87	0	96.6667							
           	-7.541152	1	88	1.1111	97.7778							
           	-7.488239	0	88	0	97.7778							
           	-7.435326	0	88	0	97.7778							
